id,value,feed_id,created_at,lat,lon,ele
0FD54HKCWPCHSTCRJD6YZMA53H,26.7,2609495,2023-09-12 02:54:00 UTC,,,
0FD54HV15SHYV76Q1N4E9B9KZM,26.7,2609495,2023-09-12 02:54:25 UTC,,,
0FD54HXP2X4X62PZ1FCXM8JT81,26.7,2609495,2023-09-12 02:54:34 UTC,,,
0FD54J3CC4MV5ERWC2X9H4ABP6,26.7,2609495,2023-09-12 02:54:52 UTC,,,
0FD54J929ZRVHBJXGBD9WPQ685,26.7,2609495,2023-09-12 02:55:11 UTC,,,
0FD54JERAB79CTQKH7X81ER52Q,26.7,2609495,2023-09-12 02:55:30 UTC,,,
0FD54JME73J53DQN6Q9622092S,26.7,2609495,2023-09-12 02:55:48 UTC,,,
0FD54JT4E9GM5JRSX1YGG61F8T,26.7,2609495,2023-09-12 02:56:07 UTC,,,
0FD54JZTDPM8SH95AK8CBHT3D1,26.7,2609495,2023-09-12 02:56:25 UTC,,,
0FD54K5GM9A8BZ56WB6A877VA1,26.7,2609495,2023-09-12 02:56:44 UTC,,,
0FD54KB6X4KP2GD8T333MW4EMJ,26.7,2609495,2023-09-12 02:57:03 UTC,,,
0FD54KGX6K4DDEXJG2247N7Z0B,26.7,2609495,2023-09-12 02:57:21 UTC,,,
0FD54KPK27WSR3QQ6F4Y569MMP,26.7,2609495,2023-09-12 02:57:40 UTC,,,
0FD54KW99HTMVHQFVBETH57A8A,26.7,2609495,2023-09-12 02:57:59 UTC,,,
0FD54M1YW90DQE39F105EDJTJ8,26.7,2609495,2023-09-12 02:58:17 UTC,,,
0FD54M7MHYM5458X5NWRYW2Y0P,26.7,2609495,2023-09-12 02:58:36 UTC,,,
0FD54MDABEYPVVW7Q75YKQKZH2,26.7,2609495,2023-09-12 02:58:55 UTC,,,
0FD54MK083E7V0HMWBH5GAD7X2,26.7,2609495,2023-09-12 02:59:13 UTC,,,
0FD54MRQ35T7WYJXV0A490H7QM,26.7,2609495,2023-09-12 02:59:32 UTC,,,
0FD54MYD88GX5CC98JGJEWJ5DV,26.7,2609495,2023-09-12 02:59:51 UTC,,,
0FD54N43T1KSCQ8PPYSPD045WF,26.7,2609495,2023-09-12 03:00:09 UTC,,,
0FD54N9TETJXXYYYTFVAM20Q9S,26.7,2609495,2023-09-12 03:00:28 UTC,,,
0FD54NFGYZEBKTAZS0CKPGK6F0,26.7,2609495,2023-09-12 03:00:47 UTC,,,
0FD54NN70E7RW2HQXDZQBTH1KC,26.7,2609495,2023-09-12 03:01:05 UTC,,,
0FD54NTXDX2WFKT7PBP3XKX9RS,26.6,2609495,2023-09-12 03:01:24 UTC,,,
0FD54P0K123FFVHR265BZPJ7AD,26.6,2609495,2023-09-12 03:01:43 UTC,,,
0FD54P694WGRY0F2YFN8VB742J,26.6,2609495,2023-09-12 03:02:01 UTC,,,
0FD54PBZW9C8GF4XT70T405ABN,26.6,2609495,2023-09-12 03:02:20 UTC,,,
0FD54PHP5PMQNC9K8HYN4EQ7XV,26.6,2609495,2023-09-12 03:02:39 UTC,,,
0FD54PQCRZ22C0HM3VP12BDPMG,26.6,2609495,2023-09-12 03:02:57 UTC,,,
0FD54PX2BJ5XRYKDVY7JSBFYCX,26.7,2609495,2023-09-12 03:03:16 UTC,,,
0FD54Q2R9ZD3J2RKZH38QW6ZTH,26.7,2609495,2023-09-12 03:03:34 UTC,,,
0FD54Q8EDK1AHADG8ZC51Y2JNQ,26.7,2609495,2023-09-12 03:03:53 UTC,,,
0FD54QE4B4K4PWE4ADCBGFXSJA,26.7,2609495,2023-09-12 03:04:12 UTC,,,
0FD54QKTAX4HX921PTCD8WQMEJ,26.7,2609495,2023-09-12 03:04:30 UTC,,,
0FD54QSG7SC76SDRW755C753B8,26.7,2609495,2023-09-12 03:04:49 UTC,,,
0FD54QZ6BENAZ1X589ZVG3GQ8W,26.7,2609495,2023-09-12 03:05:08 UTC,,,
0FD54R4WFHMZEHE7Y8TB8XJXHC,26.7,2609495,2023-09-12 03:05:26 UTC,,,
0FD54RAJRE28CCPQ5T21JS9Z9V,26.7,2609495,2023-09-12 03:05:45 UTC,,,
0FD54RG8QXEXHWT99YPSF9VR55,26.6,2609495,2023-09-12 03:06:04 UTC,,,
0FD54RNYZ7YMVADXG4PPW0AMHG,26.6,2609495,2023-09-12 03:06:22 UTC,,,
0FD54RVMTG43B4CZQV1QKNNWV5,26.6,2609495,2023-09-12 03:06:41 UTC,,,
0FD54S1AT47W90JQTZZ60J80HT,26.6,2609495,2023-09-12 03:07:00 UTC,,,
0FD54S70X5AQQWR7CZC0BR5BNR,26.6,2609495,2023-09-12 03:07:18 UTC,,,
0FD54SCPW7DTR2GYDGHYMSY6E2,26.6,2609495,2023-09-12 03:07:37 UTC,,,
0FD54SJD9PCJETG21PXA47DCMK,26.6,2609495,2023-09-12 03:07:56 UTC,,,
0FD54SR3VNSXRJNC8DMHTDY44P,26.6,2609495,2023-09-12 03:08:14 UTC,,,
0FD54SXT6K6WS6JAT32QM2JBVD,26.6,2609495,2023-09-12 03:08:33 UTC,,,
0FD54T3FS7STPPHYNGFSMWKA0P,26.6,2609495,2023-09-12 03:08:51 UTC,,,
0FD54T95DRM06F28RNH2318C2H,26.6,2609495,2023-09-12 03:09:10 UTC,,,
0FD54TEVATKXET0EN6FS8P4ZB3,26.6,2609495,2023-09-12 03:09:29 UTC,,,
0FD54TMH9G9X3XACYD2GYJ4YRQ,26.6,2609495,2023-09-12 03:09:47 UTC,,,
0FD54TT75BV5FVWA15F6KG5N92,26.6,2609495,2023-09-12 03:10:06 UTC,,,
0FD54TZXARE8D1NMESQG6D8H71,26.6,2609495,2023-09-12 03:10:25 UTC,,,
0FD54V5K32F80ZASPE18D178TV,26.6,2609495,2023-09-12 03:10:43 UTC,,,
0FD54VB8Q8ESM1T81G6JBNYM3W,26.6,2609495,2023-09-12 03:11:02 UTC,,,
0FD54VGYGA1R4S4FCJ7GZETD8A,26.6,2609495,2023-09-12 03:11:20 UTC,,,
0FD54VPM9AXSXDM5MM62WFA64M,26.6,2609495,2023-09-12 03:11:39 UTC,,,
0FD54VWA1RSA8C728E4S6YWE3S,26.6,2609495,2023-09-12 03:11:58 UTC,,,
0FD54W207E2QERYSFMCZG61WMM,26.6,2609495,2023-09-12 03:12:16 UTC,,,
0FD54W7P093YGDX1H5DMB04G46,26.6,2609495,2023-09-12 03:12:35 UTC,,,
0FD54WDC814R13JRXKBKE1K6FE,26.7,2609495,2023-09-12 03:12:54 UTC,,,
0FD54WK2NX12X2W1D0JE8SQJX7,26.7,2609495,2023-09-12 03:13:12 UTC,,,
0FD54WRS24GTPH3A3GXZ95ZQX9,26.7,2609495,2023-09-12 03:13:31 UTC,,,
0FD54WYF0ZTZ0KPCDJ86JK8FYP,26.7,2609495,2023-09-12 03:13:50 UTC,,,
0FD54X44XM90F6B82SAJ29XGKF,26.7,2609495,2023-09-12 03:14:08 UTC,,,
0FD54X9V7RC27663QVWCF81RFH,26.7,2609495,2023-09-12 03:14:27 UTC,,,
0FD54XFHGMT676JS80KYS1JWZN,26.7,2609495,2023-09-12 03:14:46 UTC,,,
0FD54XN7H6KA8WSW53CA55JCSX,26.7,2609495,2023-09-12 03:15:04 UTC,,,
0FD54XTXTH3SZPWCQR2J32WVSN,26.7,2609495,2023-09-12 03:15:23 UTC,,,
0FD54Y0KVN5EER6QQVBQAJ47NS,26.7,2609495,2023-09-12 03:15:41 UTC,,,
0FD54Y6A4P21TYMTJM1R4FSGX1,26.7,2609495,2023-09-12 03:16:00 UTC,,,
0FD54YBZYZRVABCP2JK552YRW9,26.7,2609495,2023-09-12 03:16:19 UTC,,,
0FD54YKHQ4ABNVXHH25N0V3MMS,26.7,2609495,2023-09-12 03:16:44 UTC,,,
